"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"233",3.77,1964,1,19,2,19,1.52125,1.00387018938848,2.24875,3.71375
"234",1.07,1964,1,24,2,24,1.11142857142857,0.29717719581806,-0.0414285714285714,1.42357142857143
"235",1.02,1964,3,11,2,71,1.02666666666667,0.366696968444882,-0.0066666666666666,1.45833333333333
"236",0.79,1964,11,10,2,315,1.08444444444444,0.284214316630563,-0.294444444444445,1.17055555555556
"237",1.34,1964,11,11,2,316,1.095,0.272658865879797,0.245,1.71
"238",0.76,1964,11,12,2,317,1.26,0.468792775826022,-0.5,0.965
"239",1.02,1964,11,24,2,329,1.647,1.03562165978808,-0.627,0.838
"240",1.09,1964,11,27,2,332,1.2225,0.345408660657406,-0.1325,1.3325
"241",0.71,1964,11,28,2,333,0.99,0.332114438108312,-0.28,1.185
"242",0.96,1964,11,30,2,335,1.315,0.486980492422438,-0.355,1.11
"243",1.27,1964,12,1,2,336,1.21333333333333,0.586608492786734,0.0566666666666666,1.52166666666667
"244",1.42,1964,12,19,2,354,1.61,0.670799097026396,-0.19,1.275
"245",1.72,1964,12,20,2,355,1.328,0.69572983262183,0.392,1.857
"246",3.25,1964,12,21,2,356,1.31166666666667,0.957902221871662,1.93833333333333,3.40333333333333
"247",3.25,1964,12,22,2,357,1.1975,0.836057926906298,2.0525,3.5175
"248",2.08,1964,12,23,2,358,1.07,0.501477816059694,1.01,2.475
"249",1.3,1964,12,26,2,361,1.3175,0.476767388625882,-0.0174999999999998,1.4475
"250",0.76,1964,12,28,2,363,0.898571428571429,0.12876704695283,-0.138571428571429,1.32642857142857
"251",1.12,1964,12,29,2,364,1.50777777777778,0.630273309322586,-0.387777777777778,1.07722222222222
"252",1.11,1965,1,10,2,10,1.20571428571429,0.522224742154832,-0.0957142857142856,1.36928571428571
"253",1.82,1965,1,23,2,23,1.356,0.398911017646793,0.464,1.929
"254",2.26,1965,1,27,2,27,1.71,0.703379596763268,0.55,2.015
"255",1.02,1965,1,28,2,28,1.06,0.30878795313289,-0.04,1.425
"256",0.84,1965,4,18,2,108,0.84,NA,0,1.465
"257",0.95,1965,10,4,2,277,0.95,NA,0,1.465
