,Site9
1568,2402.5
1569,2921.0
1570,5013.5
1571,7028.0
1572,2890.0
1573,6909.0
1574,7236.5
1575,7356.5
1576,6691.0
1577,7117.0
1578,7622.0
1579,7116.5
1580,6749.0
1581,7502.0
1582,7361.0
1583,5027.0
1584,4374.5
1585,6124.0
1586,4213.0
1587,4508.0
1588,6307.0
1589,4170.5
1590,4052.0
1591,4246.5
1592,7486.5
1593,4956.0
1594,2151.5
1595,5189.5
1596,6808.0
1597,3311.5
1598,4311.5
1599,5780.0
1600,2847.0
1601,4267.5
1602,3977.5
1603,7664.5
1604,7348.5
1605,3851.5
1606,3240.5
1607,4682.0
1608,2054.0
1609,4317.0
1610,5816.0
1611,8012.0
1612,7590.0
1613,8197.0
1614,8242.0
1615,3916.5
1616,4757.0
1617,4901.0
1618,4310.5
1619,1914.0
1620,3182.5
1621,4161.5
1622,5488.0
1623,3616.5
1624,5180.5
1625,8670.5
1626,8978.5
1627,8884.0
1628,8647.5
1629,8381.5
1630,8528.5
1631,8417.5
1632,1717.5
1633,2673.0
1634,3177.5
1635,6108.0
1636,7164.0
1637,8649.5
1638,8586.5
1639,7823.5
1640,8235.5
1641,7871.0
1642,5808.0
1643,5622.5
1644,8531.0
1645,8353.0
1646,6763.0
1647,5466.0
1648,7105.5
1649,4568.0
1650,6008.5
1651,8360.5
1652,8037.0
1653,7510.0
1654,7323.5
1655,7286.0
1656,8162.0
1657,4569.0
1658,7144.0
1659,5017.5
1660,5999.5
1661,8247.0
1662,8293.5
1663,8213.0
1664,7976.5
1665,7885.5
1666,8030.0
1667,7825.0
1668,7825.0
1669,7511.5
1670,7678.5
1671,7606.0
1672,7625.0
1673,7427.5
1674,6172.0
1675,2686.5
1676,5169.0
1677,4055.5
1678,7714.0
1679,7804.5
1680,7354.5
1681,7465.0
1682,7254.0
1683,7179.0
1684,6981.0
1685,5799.0
1686,6871.5
1687,7013.5
1688,6765.5
1689,6725.5
1690,6901.5
1691,6714.0
1692,4985.0
1693,3949.0
1694,2235.5
1695,2518.5
1696,3201.5
1697,3091.0
1698,6562.5
1699,6532.5
1700,5805.0
1701,6309.0
1702,6407.0
1703,4141.0
1704,3411.0
1705,5641.5
1706,3121.5
1707,6113.0
1708,6156.0
1709,5964.0
1710,5966.0
1711,3125.5
1712,4441.5
1713,2978.0
1714,2559.0
1715,2788.5
1716,3779.0
1717,3118.5
1718,2495.0
1719,2162.5
1720,1626.0
1721,2491.0
1722,5236.0
1723,5273.0
1724,4266.5
1725,5037.5
1726,3676.5
1727,3450.5
1728,3315.5
1729,4041.0
1730,4762.0
1731,1997.5
1732,2931.0
1733,4548.5
1734,4678.5
1735,3998.5
1736,4218.5
1737,4210.0
1738,1912.0
1739,3571.5
1740,1003.0
1741,1999.0
1742,2353.0
1743,3470.0
1744,3805.0
1745,4108.0
1746,4103.5
1747,1563.5
1748,1520.5
1749,877.5
1750,1042.0
1751,1763.5
1752,2040.0
1753,2683.5
1754,716.0
1755,2045.5
1756,3105.0
1757,1075.0
1758,2221.0
1759,1431.0
1760,1249.5
1761,1909.5
1762,2019.0
1763,2583.5
1764,770.0
1765,348.5
1766,2605.0
1767,3126.5
1768,2667.5
1769,1518.0
1770,1795.0
1771,1047.0
1772,1076.5
1773,1447.5
1774,1867.5
1775,1118.5
1776,686.0
1777,988.0
1778,359.0
1779,1800.0
1780,924.5
1781,1738.0
1782,1919.5
1783,1053.0
1784,1360.5
1785,1372.5
1786,775.5
1787,681.0
1788,1593.0
1789,947.5
1790,1722.5
1791,1478.5
1792,709.0
1793,1154.0
1794,1459.0
1795,481.0
1796,480.0
1797,963.0
1798,1080.0
1799,881.5
1800,408.5
1801,393.5
1802,535.5
1803,496.0
1804,837.5
1805,811.5
1806,963.5
1807,635.5
1808,571.5
1809,731.0
1810,940.5
1811,1831.0
1812,965.0
1813,1409.5
1814,954.5
1815,1350.5
1816,731.0
1817,403.0
1818,413.5
1819,632.5
1820,1456.5
1821,1239.5
1822,722.5
1823,1486.0
1824,438.0
1825,714.5
1826,1939.5
1827,2071.0
1828,2114.5
1829,1589.5
1830,486.5
1831,326.5
1832,829.0
1833,713.0
1834,1915.0
1835,1894.0
1836,1562.5
1837,975.5
1838,1294.0
1839,470.5
1840,811.0
1841,313.0
1842,854.0
1843,1507.0
1844,606.0
1845,1604.5
1846,937.5
1847,871.5
1848,967.0
1849,1161.5
1850,1252.5
1851,1660.0
1852,885.5
1853,788.5
1854,1969.5
1855,2498.5
1856,1892.5
1857,1201.0
1858,1426.0
1859,886.5
1860,1959.0
1861,929.0
1862,2424.5
1863,1050.5
1864,1798.5
1865,2590.5
1866,2228.5
1867,789.0
1868,2470.5
1869,2867.5
1870,3637.0
1871,3731.0
1872,3628.0
1873,2829.0
1874,1797.5
1875,1862.5
1876,3839.5
1877,3883.0
1878,4031.5
1879,3955.5
1880,813.0
1881,2169.0
1882,2872.0
1883,2012.0
1884,3223.5
1885,2379.0
1886,3157.5
1887,2094.5
1888,2836.0
1889,3944.0
1890,4057.5
1891,4567.0
1892,3857.0
1893,4232.5
1894,3861.0
1895,5038.5
1896,5136.0
1897,5138.5
1898,4256.5
1899,1017.0
1900,4806.0
1901,2458.5
1902,1627.0
1903,1208.5
1904,2553.0
1905,2322.5
1906,1790.0
1907,1526.0
